ID,Title,SKU,"Product Type","Parent Product ID",_isbn_text_field,epub_uuid
1096,"Mýrin: Erlendur #6 (2000)",0100034,variable,1095,9789979214984,
1101,Víkingagull,0100051,variable,1100,9789979214946,
1107,"Die kostbaren Naturschätze Islands",0100612,variable,1106,9789979511144,
1110,"Islands dyrebare naturperler",0100613,variable,1109,9789979511151,
1113,"Joyaux de la nature islandaise",0100614,variable,1112,9789979511137,
1116,"Islands dyrbara naturskatter",0100615,variable,1115,9789979511168,
1234,"Einbjörn Hansson",0104,variable,1233,,
1252,"TMM 1. hefti 2010",012010,variable,1251,,
1255,"TMM 1. hefti 2011",012011,variable,1254,,
1259,"TMM 1. hefti 2012",012012,variable,1258,,
1263,"TMM 1. hefti 2013",012013,variable,1262,,
1267,"TMM 1. hefti 2014",012014,variable,1266,,
1271,"TMM 1. hefti 2015",012015,variable,1270,,
1275,"TMM 1. hefti 2016",012016,variable,1274,,
1319,"Draumar undir gaddavír",0196007,variable,1318,9789979212010,
1326,"Lykilbók, að fjórum skáldsögum",0196008,variable,1325,9789979212393,
1348,"Aldrei að vita!",0198026,variable,1347,9789979213260,
1357,"Frá lærdómsöld til raunsæis",0199016,variable,1356,9789979213703,
1362,"Þyrnar og rósir",0199023,variable,1361,9789979214328,
1376,"TMM 2. hefti 2009",022009,variable,1375,,
1379,"TMM 2. hefti 2010",022010,variable,1378,,
1383,"TMM 2. hefti 2011",022011,variable,1382,,
1391,"TMM 2. hefti 2013",022013,variable,1390,,
1395,"TMM 2. hefti 2014",022014,variable,1394,,
1461,Konfektmolar,028327,variable,1460,5694110028327,
1471,"Nokkur lauf að norðan 1",028389,variable,1470,5694110028389,
1474,"Ævintýri tvíburanna",028396,variable,1473,5694110028396,
1479,"Eldhúsið okkar - íslensku hversdagskræsingarnar",028625,variable,1478,5690784028625,
1483,"Þar sem hjartað slær",028839,variable,1482,5694110028839,
1487,"Íslensk sönglög með undirleik",030007,variable,1486,9790902030007,
1491,"Íslensk sönglög – viðauki, franskt horn",030014,variable,1490,9790902030014,
1495,"Íslensk sönglög – viðauki, flauta",030021,variable,1494,9790902030021,
1499,"Íslensk sönglög – viðauki, túba",030038,variable,1498,9790902030038,
1526,Makbeð,030463,variable,1525,9789979304630,
1557,"Ólafur Jóhann Sigurðsson - stórbók",030484,variable,1556,9789979304845,
1587,"Úlfur, úlfur",030504,variable,1586,9789979305040,
1634,"Ferð allra ferða",030531,variable,1633,9789979305316,
1672,Pelastikk,030548,variable,1671,9789979305484,
1690,"Bók af bók",030561,variable,1689,9789979305613,
1712,"Ódauðleg ást",030570,variable,1711,9789979305705,
1772,Borg,030594,variable,1771,9789979305941,
1809,Absolution,030682,variable,1808,9781400030682,
1833,"TMM 3. hefti 2009",032009,variable,1832,,
1839,"TMM 3. hefti 2011",032011,variable,1838,,
1846,"TMM 3. hefti 2013",032013,variable,1845,,
1850,"TMM 3. hefti 2014",032014,variable,1849,,
1854,"TMM 3. hefti 2015",032015,variable,1853,,
1868,"Walking into the Night",034802,variable,1867,9781400034802,
1871,"Paradise Reclaimed",0375727582,variable,1870,9780375727580,
1874,"Ævintýri tvíburanna á Spáni",038708,variable,1873,5694110038708,
1878,"Í nýjum heimi",038715,variable,1877,5694110038715,
1881,"Nokkur lauf að norðan - 2",038722,variable,1880,5694110038722,
1921,"TMM 4. hefti 2009",042009,variable,1920,,
1924,"TMM 4. hefti 2010",042010,variable,1923,,
1927,"TMM 4. hefti 2011",042011,variable,1926,,
2045,"Se hace camino al andar",066128,variable,2044,9788702066128,
2135,Equivocal,420138,variable,2134,9789935420138,
2198,"Lífsspegill - Ingólfur Guðbrandsson",0994,variable,2197,,
2223,"Silfur hafsins - Gull Íslands",100006,variable,2222,9789979981909,
2240,"Jökulsárgljúfur - Dettifoss, Ábyrgi og allt þar á milli",100016A,variable,2239,9789935100016,
2330,"Með köldu blóði",100061,variable,2329,9789935100061,
2366,"Pabbi - bók fyrir verðandi feður",100078,variable,2365,9789935100078,
2403,"Thingvallavatn - Ensk",100092,variable,2402,9789935100092,
2410,"Íslensk tunga: ritsafn (öll bindin) - PDF skjal",100094,variable,2409,,
2415,"Íslensk tunga: Orð - II. bindi - PDF skjal",100096,variable,2414,,
2418,"Íslensk tunga: Setningar - III. bindi - PDF skjal",100097,variable,2417,,
2423,"Snjókarlinn og önnur ljóð",1001,variable,2422,9789979947417,
2440,"Skógjafir 1-3 ára",100106,variable,2439,,
2444,"Skógjafir 4-5 ára",100107,variable,2443,,
2450,Augnasinfónía,100108,variable,2449,9789935100108,
2453,"Skógjafir 6-8 ára",100109,variable,2452,,
2468,"Þýsk-íslensk orðabók",100115,variable,2467,9789935100115,
2496,"Saga listarinnar",100139,variable,2495,9789935100139,
2500,"Að morgni var ég alltaf ljón",100146,variable,2499,9789935100146,
2504,"Eitt Þúsund Tungumál",100153,variable,2503,9789935100153,
2508,"Horse: box set",100160,variable,2507,9789935100160,
2511,"Ice - box set",100177,variable,2510,9789935100177,
2516,"Erró - box",100184,variable,2515,9789935100184,
2519,"Erró mannlýsingar",100191,variable,2518,9789935100191,
2524,"Óræða - ljóð",1002,variable,2523,9789979947431,
2531,"Matur og drykkur",100214,variable,2530,9789935100214,
